label,label_reason,result_r,signal_id,timestamp,symbol,direction,market_regime,session,entry_context,trade_location,setup_type,score,trend,trend_higher_timeframe,timeframe_alignment,rsi,body_ratio,volume_ratio,atr,distance_to_liquidity_atr,liquidity_sweep,break_of_structure,has_against_htf,has_low_volume,has_dirty_sideways_market,has_market_structure_range_penalty,has_timeframe_alignment_penalty,has_secondary_confluence_bonus,warnings_count,penalties_count,meta_decision_score,trade_quality_score,edge_confirmation_score
,missing_required_data,,,2026-05-03T22:03:52.491585+00:00,ADAUSDT,short,RANGING,,BREAKOUT,,,,,,,,,,,,,,False,False,False,False,False,False,0,0,,,
,missing_required_data,,,2026-05-03T22:03:56.892928+00:00,NEARUSDT,short,TRENDING,,PULLBACK,,,,,,,,,,,,,,False,False,False,False,False,False,0,0,,,
0,recorded_status_sl,-1.0,paper_0e98126cf137,2026-05-03T22:04:00.287137+00:00,ATOMUSDT,short,RANGING,NEW_YORK,CHOPPY_RANGE,mid_range,SECONDARY_SIGNAL,,,,,,,,,,,,False,False,True,False,False,False,1,0,,,
,missing_price_path,,paper_9ce2ecd24c06,2026-05-03T22:04:02.004560+00:00,INJUSDT,short,HIGH_VOLATILITY,NEW_YORK,BREAKOUT,discount_zone,SECONDARY_SIGNAL,,,,,,,,,,,,True,False,False,False,False,False,1,0,,,
0,recorded_status_sl,-1.0,paper_b1367e894fdb,2026-05-03T22:04:03.546962+00:00,SUIUSDT,short,TRENDING,NEW_YORK,BREAKOUT,mid_range,SECONDARY_SIGNAL,,,,,,,,,,,,False,False,False,False,False,False,0,0,,,
0,recorded_status_sl,-1.0,live_fd924d88740f,2026-05-03T22:04:08.780604+00:00,ICPUSDT,short,RANGING,NEW_YORK,BREAKOUT,near_support,SECONDARY_SIGNAL,,,,,,,,,,,,False,False,False,False,False,False,0,0,,,
0,recorded_status_sl,-1.0,paper_144552f73407,2026-05-03T22:04:08.781203+00:00,ICPUSDT,short,RANGING,NEW_YORK,BREAKOUT,near_support,SECONDARY_SIGNAL,,,,,,,,,,,,False,False,False,False,False,False,0,0,,,
,missing_required_data,,,2026-05-03T22:04:14.463756+00:00,MANAUSDT,short,TRENDING,,BREAKOUT,,,,,,,,,,,,,,False,False,False,False,False,False,0,0,,,
,missing_price_path,,live_87e6d7c41019,2026-05-03T22:04:14.495927+00:00,MANAUSDT,short,TRENDING,NEW_YORK,BREAKOUT,near_support,SECONDARY_SIGNAL,,,,,,,,,,,,False,False,False,False,False,False,0,0,,,
,missing_price_path,,paper_3f9347f376ea,2026-05-03T22:04:14.496437+00:00,MANAUSDT,short,TRENDING,NEW_YORK,BREAKOUT,near_support,SECONDARY_SIGNAL,,,,,,,,,,,,False,False,False,False,False,False,0,0,,,
,missing_required_data,,,2026-05-03T22:04:15.999514+00:00,PEPEUSDT,short,LOW_VOLATILITY,,BREAKOUT,,,,,,,,,,,,,,False,False,False,False,False,False,0,0,,,
0,recorded_status_sl,-1.0,paper_3e2e395fa307,2026-05-04T08:57:05.981783+00:00,TRXUSDT,short,RANGING,LONDON,CHOPPY_RANGE,near_resistance,MAIN_SIGNAL,,,,,,,,,,,,True,False,False,False,False,False,1,0,,,
