group_type,group,rows,labeled_rows,positive_labels,negative_labels,winrate,avg_result_r,total_result_r,tp_hit_count,sl_hit_count,unknown_count,confidence_level,insufficient_data
market_regime+entry_context,RANGING|BREAKOUT,19,6,1,5,16.67,-0.5833,-3.5,1,5,13,LOW,True
market_regime+entry_context,LOW_VOLATILITY|BREAKOUT,1,0,0,0,0.0,0.0,0,0,0,1,LOW,True
market_regime+entry_context,RANGING|UNKNOWN,13,0,0,0,0.0,0.0,0,0,0,13,LOW,True
market_regime+entry_context,HIGH_VOLATILITY|UNKNOWN,77,0,0,0,0.0,0.0,0,0,0,77,LOW,True
market_regime+entry_context,TRENDING|UNKNOWN,7,0,0,0,0.0,0.0,0,0,0,7,LOW,True
market_regime+entry_context,LOW_VOLATILITY|UNKNOWN,1,0,0,0,0.0,0.0,0,0,0,1,LOW,True
market_regime+entry_context,LOW_VOLATILITY|PULLBACK,44,0,0,0,0.0,0.0,0,0,0,44,LOW,True
market_regime+entry_context,HIGH_VOLATILITY|EXHAUSTION,12,0,0,0,0.0,0.0,0,0,0,12,LOW,True
market_regime+entry_context,HIGH_VOLATILITY|CHOPPY_RANGE,9,0,0,0,0.0,0.0,0,0,0,9,LOW,True
market_regime+entry_context,HIGH_VOLATILITY|IMPULSE,2,0,0,0,0.0,0.0,0,0,0,2,LOW,True
market_regime+entry_context,RANGING|PULLBACK,2,2,1,1,50.0,0.2534,0.5068,1,1,0,LOW,True
market_regime+entry_context,TRENDING|EXHAUSTION,6,2,1,1,50.0,0.3284,0.6568,1,1,4,LOW,True
market_regime+entry_context,TRENDING|BREAKOUT,14,6,4,2,66.67,1.2092,7.2552,4,2,8,LOW,True
market_regime+entry_context,HIGH_VOLATILITY|PULLBACK,49,1,1,0,100.0,2.951,2.951,1,0,48,LOW,True
session,NEW_YORK,20,12,1,11,8.33,-0.7917,-9.5,1,11,8,MEDIUM,False
session,ASIA,1,0,0,0,0.0,0.0,0,0,0,1,LOW,True
session,UNKNOWN,240,0,0,0,0.0,0.0,0,0,0,240,LOW,True
session,OVERLAP,17,12,4,8,33.33,0.1182,1.4188,4,8,5,MEDIUM,False
session,LONDON,18,8,3,5,37.5,0.1189,0.951,3,5,10,LOW,True
setup_type,SECONDARY_SIGNAL,48,13,3,10,23.08,-0.3846,-5.0,3,10,35,MEDIUM,False
setup_type,MAIN_SIGNAL,114,19,5,14,26.32,-0.1121,-2.1302,5,14,95,MEDIUM,False
setup_type,UNKNOWN,108,0,0,0,0.0,0.0,0,0,0,108,LOW,True
setup_type,NO_SIGNAL,26,0,0,0,0.0,0.0,0,0,0,26,LOW,True
setup_type+entry_context,MAIN_SIGNAL|CHOPPY_RANGE,5,4,0,4,0.0,-1.0,-4.0,0,4,1,LOW,True
setup_type+entry_context,SECONDARY_SIGNAL|CHOPPY_RANGE,5,1,0,1,0.0,-1.0,-1.0,0,1,4,LOW,True
setup_type+entry_context,SECONDARY_SIGNAL|BREAKOUT,43,12,3,9,25.0,-0.3333,-4.0,3,9,31,MEDIUM,False
setup_type+entry_context,MAIN_SIGNAL|EXHAUSTION,3,3,1,2,33.33,-0.1144,-0.3432,1,2,0,LOW,True
setup_type+entry_context,MAIN_SIGNAL|PULLBACK,99,7,2,5,28.57,-0.0775,-0.5422,2,5,92,LOW,True
setup_type+entry_context,UNKNOWN|BREAKOUT,7,0,0,0,0.0,0.0,0,0,0,7,LOW,True
setup_type+entry_context,UNKNOWN|PULLBACK,3,0,0,0,0.0,0.0,0,0,0,3,LOW,True
setup_type+entry_context,UNKNOWN|UNKNOWN,98,0,0,0,0.0,0.0,0,0,0,98,LOW,True
