generated_at,segment,target_context,feature,value,sample_size,total_r,profit_factor,winrate,avg_r,max_drawdown,confidence,rolling_last_10_r,rolling_last_20_r,rolling_last_30_r,degradation,toxicity_score,opportunity_score,classification
2026-05-29T15:17:24+00:00,CHOPPY_RANGE_SHORT,entry_context=CHOPPY_RANGE,session,NEW_YORK,3,-3.0,0.0,0.0,-1.0,-3.0,LOW,-3.0,-3.0,-3.0,0.0,46.0,0.0,UNSTABLE
2026-05-29T15:17:24+00:00,CHOPPY_RANGE_SHORT,entry_context=CHOPPY_RANGE,setup_type,MAIN_SIGNAL,3,-3.0,0.0,0.0,-1.0,-3.0,LOW,-3.0,-3.0,-3.0,0.0,46.0,0.0,UNSTABLE
2026-05-29T15:17:24+00:00,CHOPPY_RANGE_SHORT,entry_context=CHOPPY_RANGE,score_bucket,<60,3,-3.0,0.0,0.0,-1.0,-3.0,LOW,-3.0,-3.0,-3.0,0.0,46.0,0.0,UNSTABLE
2026-05-29T15:17:24+00:00,CHOPPY_RANGE_SHORT,entry_context=CHOPPY_RANGE,rr_bucket,rr_1_5_to_2,3,-3.0,0.0,0.0,-1.0,-3.0,LOW,-3.0,-3.0,-3.0,0.0,46.0,0.0,UNSTABLE
2026-05-29T15:17:24+00:00,CHOPPY_RANGE_SHORT,entry_context=CHOPPY_RANGE,trend_alignment,aligned,3,-3.0,0.0,0.0,-1.0,-3.0,LOW,-3.0,-3.0,-3.0,0.0,46.0,0.0,UNSTABLE
2026-05-29T15:17:24+00:00,CHOPPY_RANGE_SHORT,entry_context=CHOPPY_RANGE,rejection_reason,body_ratio_below_threshold,3,-3.0,0.0,0.0,-1.0,-3.0,LOW,-3.0,-3.0,-3.0,0.0,46.0,0.0,UNSTABLE
2026-05-29T15:17:24+00:00,GLOBAL,market_regime=HIGH_VOLATILITY,score_bucket,90+,3,-2.6413,0.0,0.0,-0.8804,-2.6413,LOW,-2.6413,-2.6413,-2.6413,0.0,45.2826,0.0,UNSTABLE
2026-05-29T15:17:24+00:00,GLOBAL,entry_context=CHOPPY_RANGE,volume_bucket,volume_mid,2,-2.0,0.0,0.0,-1.0,-2.0,LOW,-2.0,-2.0,-2.0,0.0,44.0,0.0,UNSTABLE
2026-05-29T15:17:24+00:00,GLOBAL,entry_context=CHOPPY_RANGE,opened_hour_utc,21,2,-2.0,0.0,0.0,-1.0,-2.0,LOW,-2.0,-2.0,-2.0,0.0,44.0,0.0,UNSTABLE
2026-05-29T15:17:24+00:00,GLOBAL,entry_context=CHOPPY_RANGE,penalty,distance_to_liquidity_penalty:10,2,-2.0,0.0,0.0,-1.0,-2.0,LOW,-2.0,-2.0,-2.0,0.0,44.0,0.0,UNSTABLE
2026-05-29T15:17:24+00:00,GLOBAL,entry_context=CHOPPY_RANGE,rejection_reason,distance_to_liquidity_penalty,2,-2.0,0.0,0.0,-1.0,-2.0,LOW,-2.0,-2.0,-2.0,0.0,44.0,0.0,UNSTABLE
2026-05-29T15:17:24+00:00,LONDON_ONLY,entry_context=CHOPPY_RANGE,penalty,distance_to_liquidity_penalty:10,2,-2.0,0.0,0.0,-1.0,-2.0,LOW,-2.0,-2.0,-2.0,0.0,44.0,0.0,UNSTABLE
2026-05-29T15:17:24+00:00,LONDON_ONLY,entry_context=CHOPPY_RANGE,rejection_reason,directional_confluence_failed,2,-2.0,0.0,0.0,-1.0,-2.0,LOW,-2.0,-2.0,-2.0,0.0,44.0,0.0,UNSTABLE
2026-05-29T15:17:24+00:00,LONDON_ONLY,entry_context=CHOPPY_RANGE,rejection_reason,distance_to_liquidity_penalty,2,-2.0,0.0,0.0,-1.0,-2.0,LOW,-2.0,-2.0,-2.0,0.0,44.0,0.0,UNSTABLE
2026-05-29T15:17:24+00:00,SHORT_ONLY,entry_context=CHOPPY_RANGE,trade_location,premium_zone,2,-2.0,0.0,0.0,-1.0,-2.0,LOW,-2.0,-2.0,-2.0,0.0,44.0,0.0,UNSTABLE
2026-05-29T15:17:24+00:00,SHORT_ONLY,entry_context=CHOPPY_RANGE,volume_bucket,volume_mid,2,-2.0,0.0,0.0,-1.0,-2.0,LOW,-2.0,-2.0,-2.0,0.0,44.0,0.0,UNSTABLE
2026-05-29T15:17:24+00:00,SHORT_ONLY,entry_context=CHOPPY_RANGE,opened_hour_utc,21,2,-2.0,0.0,0.0,-1.0,-2.0,LOW,-2.0,-2.0,-2.0,0.0,44.0,0.0,UNSTABLE
2026-05-29T15:17:24+00:00,LONG_ONLY,market_regime=HIGH_VOLATILITY,rr_bucket,rr_2_plus,2,-2.0,0.0,0.0,-1.0,-2.0,LOW,-2.0,-2.0,-2.0,0.0,44.0,0.0,UNSTABLE
2026-05-29T15:17:24+00:00,LONG_ONLY,market_regime=HIGH_VOLATILITY,trend_alignment,aligned,2,-2.0,0.0,0.0,-1.0,-2.0,LOW,-2.0,-2.0,-2.0,0.0,44.0,0.0,UNSTABLE
2026-05-29T15:17:24+00:00,HIGH_VOLATILITY_LONG,market_regime=HIGH_VOLATILITY,rr_bucket,rr_2_plus,2,-2.0,0.0,0.0,-1.0,-2.0,LOW,-2.0,-2.0,-2.0,0.0,44.0,0.0,UNSTABLE
2026-05-29T15:17:24+00:00,HIGH_VOLATILITY_LONG,market_regime=HIGH_VOLATILITY,trend_alignment,aligned,2,-2.0,0.0,0.0,-1.0,-2.0,LOW,-2.0,-2.0,-2.0,0.0,44.0,0.0,UNSTABLE
2026-05-29T15:17:24+00:00,CHOPPY_RANGE_SHORT,entry_context=CHOPPY_RANGE,trade_location,premium_zone,2,-2.0,0.0,0.0,-1.0,-2.0,LOW,-2.0,-2.0,-2.0,0.0,44.0,0.0,UNSTABLE
2026-05-29T15:17:24+00:00,CHOPPY_RANGE_SHORT,entry_context=CHOPPY_RANGE,volume_bucket,volume_mid,2,-2.0,0.0,0.0,-1.0,-2.0,LOW,-2.0,-2.0,-2.0,0.0,44.0,0.0,UNSTABLE
2026-05-29T15:17:24+00:00,CHOPPY_RANGE_SHORT,entry_context=CHOPPY_RANGE,opened_hour_utc,21,2,-2.0,0.0,0.0,-1.0,-2.0,LOW,-2.0,-2.0,-2.0,0.0,44.0,0.0,UNSTABLE
2026-05-29T15:17:24+00:00,GLOBAL,market_regime=HIGH_VOLATILITY,session,OVERLAP,2,-1.6413,0.0,0.0,-0.8206,-1.6413,LOW,-1.6413,-1.6413,-1.6413,0.0,42.1946,0.0,UNSTABLE
2026-05-29T15:17:24+00:00,GLOBAL,market_regime=HIGH_VOLATILITY,penalty,secondary_confluence_bonus:+25,2,-1.6413,0.0,0.0,-0.8206,-1.6413,LOW,-1.6413,-1.6413,-1.6413,0.0,42.1946,0.0,UNSTABLE
2026-05-29T15:17:24+00:00,SHORT_ONLY,market_regime=HIGH_VOLATILITY,score_bucket,90+,2,-1.6413,0.0,0.0,-0.8206,-1.6413,LOW,-1.6413,-1.6413,-1.6413,0.0,42.1946,0.0,UNSTABLE
2026-05-29T15:17:24+00:00,SHORT_ONLY,market_regime=HIGH_VOLATILITY,penalty,secondary_confluence_bonus:+25,2,-1.6413,0.0,0.0,-0.8206,-1.6413,LOW,-1.6413,-1.6413,-1.6413,0.0,42.1946,0.0,UNSTABLE
2026-05-29T15:17:24+00:00,HIGH_VOLATILITY_SHORT,market_regime=HIGH_VOLATILITY,score_bucket,90+,2,-1.6413,0.0,0.0,-0.8206,-1.6413,LOW,-1.6413,-1.6413,-1.6413,0.0,42.1946,0.0,UNSTABLE
