dimension,value,classification,labeled_rows,winrate,avg_result_r,total_result_r,confidence_level,recommendation,next_action
trade_location+entry_context,near_support|CHOPPY_RANGE,AVOID_PUBLIC,1,0.0,-1.0,-1.0,LOW,evitar_publico_temporalmente,recoger_mas_muestra_en_dev_paper
trade_location+entry_context,discount_zone|BREAKOUT,AVOID_PUBLIC,1,0.0,-1.0,-1.0,LOW,evitar_publico_temporalmente,recoger_mas_muestra_en_dev_paper
trade_location+entry_context,near_support|EXHAUSTION,AVOID_PUBLIC,1,0.0,-1.0,-1.0,LOW,evitar_publico_temporalmente,recoger_mas_muestra_en_dev_paper
trade_location+entry_context,mid_range|PULLBACK,AVOID_PUBLIC,1,0.0,-1.0,-1.0,LOW,evitar_publico_temporalmente,recoger_mas_muestra_en_dev_paper
trade_location+entry_context,premium_zone|EXHAUSTION,AVOID_PUBLIC,1,0.0,-1.0,-1.0,LOW,evitar_publico_temporalmente,recoger_mas_muestra_en_dev_paper
trade_location+entry_context,mid_range|CHOPPY_RANGE,AVOID_PUBLIC,1,0.0,-1.0,-1.0,LOW,evitar_publico_temporalmente,recoger_mas_muestra_en_dev_paper
trade_location+entry_context,near_resistance|CHOPPY_RANGE,AVOID_PUBLIC,1,0.0,-1.0,-1.0,LOW,evitar_publico_temporalmente,recoger_mas_muestra_en_dev_paper
direction,long,WATCHLIST,17,35.29,0.0835,1.4188,MEDIUM,monitorizar,mantener_en_watchlist
has_against_htf,True,WATCHLIST,14,35.71,0.0082,0.1146,MEDIUM,monitorizar,mantener_en_watchlist
session,OVERLAP,WATCHLIST,12,33.33,0.1182,1.4188,MEDIUM,monitorizar,mantener_en_watchlist
market_regime,TRENDING,WATCHLIST,12,41.67,0.326,3.912,MEDIUM,monitorizar,mantener_en_watchlist
session,LONDON,NEEDS_MORE_DATA,8,37.5,0.1189,0.951,LOW,no_tocar_estrategia,recoger_mas_labels
direction+market_regime,long|TRENDING,NEEDS_MORE_DATA,8,62.5,0.989,7.912,LOW,no_tocar_estrategia,recoger_mas_labels
entry_context,PULLBACK,NEEDS_MORE_DATA,7,28.57,-0.0775,-0.5422,LOW,no_tocar_estrategia,recoger_mas_labels
setup_type+entry_context,MAIN_SIGNAL|PULLBACK,NEEDS_MORE_DATA,7,28.57,-0.0775,-0.5422,LOW,no_tocar_estrategia,recoger_mas_labels
trade_location+entry_context,near_support|BREAKOUT,NEEDS_MORE_DATA,7,28.57,0.1079,0.7552,LOW,no_tocar_estrategia,recoger_mas_labels
trade_location,mid_range,NEEDS_MORE_DATA,7,42.86,0.1653,1.1568,LOW,no_tocar_estrategia,recoger_mas_labels
trade_location,near_resistance,NEEDS_MORE_DATA,6,33.33,0.0752,0.451,LOW,no_tocar_estrategia,recoger_mas_labels
market_regime+entry_context,TRENDING|BREAKOUT,NEEDS_MORE_DATA,6,66.67,1.2092,7.2552,LOW,no_tocar_estrategia,recoger_mas_labels
symbol,BNBUSDT,NEEDS_MORE_DATA,5,40.0,0.0,0.0,LOW,no_tocar_estrategia,recoger_mas_labels
setup_type+entry_context,MAIN_SIGNAL|BREAKOUT,NEEDS_MORE_DATA,5,40.0,0.551,2.7552,LOW,no_tocar_estrategia,recoger_mas_labels
trade_location+entry_context,mid_range|BREAKOUT,NEEDS_MORE_DATA,4,50.0,0.375,1.5,LOW,no_tocar_estrategia,recoger_mas_labels
trade_location+entry_context,near_resistance|BREAKOUT,NEEDS_MORE_DATA,3,33.33,-0.1667,-0.5,LOW,no_tocar_estrategia,recoger_mas_labels
entry_context,EXHAUSTION,NEEDS_MORE_DATA,3,33.33,-0.1144,-0.3432,LOW,no_tocar_estrategia,recoger_mas_labels
setup_type+entry_context,MAIN_SIGNAL|EXHAUSTION,NEEDS_MORE_DATA,3,33.33,-0.1144,-0.3432,LOW,no_tocar_estrategia,recoger_mas_labels
symbol,BTCUSDT,NEEDS_MORE_DATA,3,33.33,0.7517,2.2552,LOW,no_tocar_estrategia,recoger_mas_labels
market_regime+entry_context,RANGING|PULLBACK,NEEDS_MORE_DATA,2,50.0,0.2534,0.5068,LOW,no_tocar_estrategia,recoger_mas_labels
symbol,AVAXUSDT,NEEDS_MORE_DATA,2,50.0,0.2534,0.5068,LOW,no_tocar_estrategia,recoger_mas_labels
trade_location+entry_context,near_support|PULLBACK,NEEDS_MORE_DATA,2,50.0,0.2534,0.5068,LOW,no_tocar_estrategia,recoger_mas_labels
