signal_id,timestamp,symbol,direction,entry,stop_loss,take_profit,time_barrier_bars,label,label_reason,result_r,max_r,min_r,bars_to_label,market_regime,session,entry_context,trade_location,setup_type,warnings,penalties
paper_e7ca9f6c80dc,2026-05-04T11:58:46.348655+00:00,DOGEUSDT,short,0.11029,0.114148,0.106432,24,TIMEOUT,recorded_status_timeout,-0.21,0.1763,-0.6143,24,HIGH_VOLATILITY,LONDON,BREAKOUT,mid_range,SECONDARY_SIGNAL,"[""against_htf""]",
,2026-05-04T12:01:37.324225+00:00,BCHUSDT,short,444.0,,,24,UNKNOWN,missing_required_data,,,,,TRENDING,,PULLBACK,,,,
paper_e9f6a1a0d741,2026-05-04T12:01:41.521155+00:00,ARBUSDT,long,0.1145,0.113354,0.115646,24,UNKNOWN,missing_price_path,,,,,HIGH_VOLATILITY,LONDON,PULLBACK,near_support,MAIN_SIGNAL,"[""against_htf""]",
,2026-05-04T12:06:36.019733+00:00,BTCUSDT,long,78793.67,,,24,UNKNOWN,missing_required_data,,,,,RANGING,,,,,,
,2026-05-04T12:06:40.549540+00:00,AVAXUSDT,long,9.14,,,24,UNKNOWN,missing_required_data,,,,,HIGH_VOLATILITY,,,,,,
,2026-05-04T12:06:42.980050+00:00,DOTUSDT,long,1.22,,,24,UNKNOWN,missing_required_data,,,,,HIGH_VOLATILITY,,,,,,
,2026-05-04T12:06:43.668874+00:00,TRXUSDT,long,0.34,,,24,UNKNOWN,missing_required_data,,,,,RANGING,,,,,,
,2026-05-04T12:06:45.228873+00:00,BCHUSDT,short,444.0,,,24,UNKNOWN,missing_required_data,,,,,TRENDING,,,,,,
,2026-05-04T12:06:45.920711+00:00,UNIUSDT,long,3.281,,,24,UNKNOWN,missing_required_data,,,,,HIGH_VOLATILITY,,,,,,
,2026-05-04T12:06:46.640464+00:00,ATOMUSDT,long,1.878,,,24,UNKNOWN,missing_required_data,,,,,HIGH_VOLATILITY,,,,,,
,2026-05-04T12:06:51.806131+00:00,AAVEUSDT,long,92.11,,,24,UNKNOWN,missing_required_data,,,,,HIGH_VOLATILITY,,,,,,
,2026-05-04T12:06:53.408460+00:00,SEIUSDT,long,0.05875,,,24,UNKNOWN,missing_required_data,,,,,HIGH_VOLATILITY,,,,,,
,2026-05-04T12:06:57.093832+00:00,PEPEUSDT,long,3.99e-06,,,24,UNKNOWN,missing_required_data,,,,,LOW_VOLATILITY,,,,,,
